( 18, 19, <, false)
( 17, 19, v, true)
( 17, 19, <, false)
( 17, 19, ^, true)
( 16, 19, v, true)
( 16, 19, <, false)
( 16, 19, ^, true)
( 15, 19, v, true)
( 15, 19, <, false)
( 15, 19, ^, true)
( 14, 19, v, true)
( 14, 19, <, false)
( 14, 19, ^, true)
( 13, 19, v, true)
( 13, 19, <, false)
( 13, 19, ^, true)
( 12, 19, v, true)
( 12, 19, <, true)
( 12, 19, ^, false)
( 12, 20, <, true)
( 12, 20, ^, true)
( 12, 20, >, false)
( 13, 20, ^, true)
( 13, 20, >, false)
( 14, 20, ^, true)
( 14, 20, >, false)
( 15, 20, ^, true)
( 15, 20, >, false)
( 16, 20, ^, false)
( 16, 20, >, false)
( 16, 21, <, false)
( 15, 21, <, false)
( 15, 21, ^, false)
( 14, 21, <, true)
( 14, 21, ^, true)
( 15, 22, <, false)
( 14, 22, <, true)
( 14, 22, ^, false)
( 14, 23, <, false)
( 13, 23, v, true)
( 13, 23, <, true)
( 13, 23, ^, false)
( 13, 24, <, false)
( 12, 24, v, false)
( 12, 24, <, true)
( 12, 24, ^, false)
( 12, 23, v, true)
( 12, 23, <, true)
( 12, 25, <, false)
( 11, 25, v, false)
( 11, 25, <, true)
( 11, 25, ^, false)
( 11, 24, v, false)
( 11, 24, <, true)
( 11, 23, v, false)
( 11, 23, <, true)
( 11, 22, >, false)
( 11, 22, v, true)
( 11, 22, <, true)
( 12, 22, >, false)
( 12, 22, v, true)
( 13, 22, v, false)
